id,ecephys_session_id,lfp_sampling_rate,name,phase,sampling_rate,has_lfp_data,unit_count,channel_count,ecephys_structure_acronyms
729445648,719161530,1249.99864243727,probeA,3a,29999.9674184945,True,87,374,['APN' 'LP' 'MB' 'DG' 'CA1' 'VISam' nan]
729445650,719161530,1249.996619981285,probeB,3a,29999.9188795509,True,202,368,['TH' 'Eth' 'APN' 'POL' 'LP' 'DG' 'CA1' 'VISpm' nan]
729445652,719161530,1249.999896707185,probeC,3a,29999.9975209724,True,207,373,['APN' 'NOT' 'MB' 'DG' 'SUB' 'VISp' nan]
729445654,719161530,1249.99670678197,probeD,3a,29999.9209627673,True,93,358,['grey' 'VL' 'CA3' 'CA2' 'CA1' 'VISl' nan]
729445656,719161530,1249.999979167835,probeE,3a,29999.9995000281,True,138,370,['PO' 'VPM' 'TH' 'LP' 'LGd' 'CA3' 'DG' 'CA1' 'VISal' nan]
729445658,719161530,1250.001693481385,probeF,3a,30000.0406435532,True,28,371,['DG' 'CA1' 'VISrl' nan]
733744647,732592105,1249.99647462834,probeB,3a,29999.9153910801,True,174,369,['grey' 'VISpm' nan]
733744649,732592105,1249.99965269256,probeC,3a,29999.9916646214,True,226,373,['grey' 'VISp' nan]
733744651,732592105,1249.99652826655,probeD,3a,29999.9166783973,True,134,366,['grey' 'VISl' nan]
733744653,732592105,1249.999365724765,probeE,3a,29999.9847773943,True,161,369,['grey' 'VISal' nan]
733744655,732592105,1250.00147192201,probeF,3a,30000.0353261282,True,129,370,['grey' 'VISrl' nan]
756781553,754312389,1249.998724879925,probeA,3a,29999.9693971182,True,93,374,['APN' 'POL' 'LP' 'DG' 'CA1' 'VISam' nan]
756781555,754312389,1249.99656351234,probeB,3a,29999.9175242961,True,73,370,['LGd' 'HPF' 'DG' 'CA3' 'CA1' 'VISpm' nan]
756781557,754312389,1249.999888025535,probeC,3a,29999.9973126128,True,191,374,['LGd' 'HPF' 'DG' 'CA1' 'VISp' nan]
756781559,754312389,1249.996780517115,probeD,3a,29999.9227324108,True,37,368,['CA3' 'CA2' 'CA1' 'VISl' nan]
756781561,754312389,1249.999987847735,probeE,3a,29999.9997083456,True,52,369,['grey' 'TH' 'LGd' 'CA3' 'CA2' 'CA1' 'VISal' nan]
756781563,754312389,1250.001676144905,probeF,3a,30000.0402274777,True,56,365,['CA1' 'VISrl' nan]
757904508,744228101,1249.9984290285,probeA,3a,29999.962296684,True,135,373,['APN' 'DG' 'CA1' 'VIS' nan]
757904510,744228101,1249.99628679463,probeB,3a,29999.9108830712,True,144,368,['Eth' 'TH' 'LP' 'POL' 'APN' 'DG' 'CA1' 'VIS' nan]
