id,published_at,specimen_id,session_type,age_in_days,sex,full_genotype,unit_count,channel_count,probe_count,ecephys_structure_acronyms
715093703,2019-10-03T00:00:00Z,699733581,brain_observatory_1.1,118.0,M,Sst-IRES-Cre/wt;Ai32(RCL-ChR2(H134R)_EYFP)/wt,884,2219,6,"['CA1' 'VISrl' nan 'PO' 'LP' 'LGd' 'CA3' 'DG' 'VISl' 'PoT' 'VISp' 'grey'
 'VISpm' 'APN' 'MB' 'VISam']"
719161530,2019-10-03T00:00:00Z,703279284,brain_observatory_1.1,122.0,M,Sst-IRES-Cre/wt;Ai32(RCL-ChR2(H134R)_EYFP)/wt,755,2214,6,"['TH' 'Eth' 'APN' 'POL' 'LP' 'DG' 'CA1' 'VISpm' nan 'NOT' 'MB' 'SUB'
 'VISp' 'VISam' 'grey' 'VL' 'CA3' 'CA2' 'VISl' 'PO' 'VPM' 'LGd' 'VISal'
 'VISrl']"
721123822,2019-10-03T00:00:00Z,707296982,brain_observatory_1.1,125.0,M,Pvalb-IRES-Cre/wt;Ai32(RCL-ChR2(H134R)_EYFP)/wt,444,2229,6,"['MB' 'SCig' 'PPT' 'NOT' 'DG' 'CA1' 'VISam' nan 'LP' 'VIS' 'ProS' 'VISp'
 'LGv' 'CA3' 'VISl' 'APN' 'POL' 'LGd' 'HPF' 'VISal' 'VISrl']"
732592105,2019-10-03T00:00:00Z,717038288,brain_observatory_1.1,100.0,M,wt/wt,824,1847,5,['grey' 'VISpm' nan 'VISp' 'VISl' 'VISal' 'VISrl']
737581020,2019-10-03T00:00:00Z,718643567,brain_observatory_1.1,108.0,M,wt/wt,568,2218,6,['grey' 'VISmma' nan 'VISpm' 'VISp' 'VISl' 'VISrl']
739448407,2019-10-03T00:00:00Z,716813543,brain_observatory_1.1,112.0,M,wt/wt,625,2221,6,['grey' 'VISam' nan 'VIS' 'VISp' 'VISl' 'VISrl']
742951821,2019-10-03T00:00:00Z,723627604,brain_observatory_1.1,120.0,M,wt/wt,893,2219,6,['VISal' nan 'grey' 'VISl' 'VISrl' 'VISp' 'VISpm' 'VIS']
743475441,2019-10-03T00:00:00Z,722882755,brain_observatory_1.1,121.0,M,wt/wt,553,2225,6,"['LP' 'LGd' 'HPF' 'DG' 'CA3' 'CA1' 'VISrl' nan 'PP' 'PIL' 'TH' 'MGv'
 'VISl' 'ProS' 'SUB' 'VISp' 'PO' 'Eth' 'VISmma' 'APN' 'VISam']"
744228101,2019-10-03T00:00:00Z,719817805,brain_observatory_1.1,122.0,M,wt/wt,659,2226,6,"['Eth' 'TH' 'LP' 'POL' 'APN' 'DG' 'CA1' 'VIS' nan 'CA3' 'VISrl' 'VPL'
 'IGL' 'LGd' 'CA2' 'VISal' 'VISl' 'SGN' 'SUB' 'VISp']"
746083955,2019-10-03T00:00:00Z,726170935,brain_observatory_1.1,98.0,F,Pvalb-IRES-Cre/wt;Ai32(RCL-ChR2(H134R)_EYFP)/wt,582,2216,6,"['VPM' 'TH' 'LGd' 'CA3' 'CA2' 'CA1' 'VISal' nan 'grey' 'VISl' 'VISp'
 'VISpm' 'VISrl']"
